id;prix_unit;prixunitnet;montligne;qte_unit;remise;quantitecolis;designation
1;61086;10352;97789;65209;8321;66455;impactful SAS
2;96108;63200;45277;58748;11190;95612;throughput
3;97353;85527;78738;24290;21213;36281;utilisation c deposit
4;35163;51529;5819;86083;42409;52600;transmitter Chicken
5;188;45637;72311;6504;54611;22172;initiatives Granite Handcrafted
6;27822;52851;53963;86846;54164;62366;Table de connecting
7;20811;85803;48465;81372;67197;53204;Frozen
8;53591;80145;39209;69958;15915;39578;b invoice Wooden
9;27101;97326;16962;39963;22918;42559;Avon infomediaries
10;15222;57961;49248;83782;93903;57359;networks networks
