id;prix_unit;prixunitnet;montligne;qte_unit;remise;quantitecolis;designation
1;29570;96256;56555;44251;33122;49594;a
2;47412;56463;2296;67819;9778;55487;c monetize
3;96361;67949;18972;66829;87220;98745;Awesome haptic calculate
4;59820;75815;994;25725;64816;78933;Naira Manat Syrian
5;23169;27055;78550;8717;69479;60312;Kids Cross-group
6;93470;71943;95370;95744;52251;46196;AI input
7;67703;42208;41720;71492;91693;92578;Pants clicks-and-mortar
8;64061;72302;44621;97709;51118;24655;a
9;90330;84285;17429;51344;25265;75534;Granite calculate payment
10;2368;69199;74183;98252;74734;99863;payment Grocery
