id;stk_qt_eentrant;stk_qt_einitial;stk_qt_ereel;id_commande;id_vente;id_sortie;date_saisie;montunitaire_op
1;47740;17836;77187;85956;402;10690;2021-10-24;39948
2;27421;38229;30813;47636;95480;52140;2021-10-24;19078
3;81304;3560;62579;65736;14769;64073;2021-10-25;62932
4;81367;57532;99215;77870;43947;70342;2021-10-25;56130
5;17331;46118;77843;38847;92166;15430;2021-10-25;1036
6;19874;55903;97317;2125;84649;95292;2021-10-24;96025
7;23253;84932;53742;92211;19572;14361;2021-10-25;76497
8;26709;62440;37771;34574;44556;63195;2021-10-25;11194
9;97449;62843;41688;46152;33273;31220;2021-10-24;32878
10;87800;80196;28464;71371;41964;51587;2021-10-24;52242
