id;date_saisie;taxe;observation;montantht;montantttc
1;2021-10-25;34795;a;32073;81721
2;2021-10-25;21877;multi-byte deposit Mouse;9439;64743
3;2021-10-24;79722;Frozen Directeur matrix;52768;21154
4;2021-10-24;39619;optical;58683;8745
5;2021-10-25;44715;azure;32823;91536
6;2021-10-25;38342;Plastic backing AI;16633;63861
7;2021-10-25;33607;connect Italie hour;27057;95195
8;2021-10-25;60707;Sleek Bahamas redundant;54975;10445
9;2021-10-24;9481;FTP;27866;61100
10;2021-10-25;48366;b ivory bus;17127;91602
