id;date_saisie;taxe;observation;montantht;montantttc
1;2021-10-25;30095;l'Odéon b;92430;94448
2;2021-10-24;7013;Haute-Normandie Specialiste empower;89849;84033
3;2021-10-25;75049;Card Languedoc-Roussillon magnetic;586;76062
4;2021-10-24;65024;c deposit;53287;87536
5;2021-10-24;46206;Plastic;79839;71880
6;2021-10-25;52647;neural Uganda;42499;37193
7;2021-10-24;52378;orchestrate deposit maroon;78908;99506
8;2021-10-24;79713;parsing b Languedoc-Roussillon;67070;63158
9;2021-10-25;10907;Handcrafted transmit static;71862;35090
10;2021-10-25;74944;Incredible;74644;5010
