id;date_saisie;taxe;observation;montantht;montantttc
1;2021-10-24;40306;bifurcated Aquitaine Saussaies;58199;33246
2;2021-10-24;80209;Sports;70090;33896
3;2021-10-25;57720;exploit;46624;78243
4;2021-10-25;89385;Synergized RAM UAE;68307;29901
5;2021-10-25;31481;quantifying quantify CSS;15814;21914
6;2021-10-25;43625;solid dedicated;30671;76557
7;2021-10-25;68930;1080p Health Tuna;3734;14026
8;2021-10-25;41595;Towels;83404;763
9;2021-10-25;4546;Sterling green;8088;61999
10;2021-10-25;47878;FTP;35693;36074
